ID	Submission Date	Name	Team	Eligible	Censor	Number of Calls (Censored)	True Positives (Censored)	False Negatives (Censored)	Sensitivity (Censored)	Precision (Censored)	Balanced Accuracy (Censored)	Number of Calls (All)	True Positives (All)	False Negatives (All)	Sensitivity (All)	Precision (All)	Balanced Accuracy (All)
2524222	2014-07-22 19:58:16	MuTect-EL7	Broad SMC	TRUE	Mask	8902	8618	3246	0.7264	0.9681	0.8472	12243	11840	4428	0.7278	0.9671	0.8474
2554745	2014-08-01 23:01:14	3.5to4_S.12345	BinaTeam	TRUE	Mask	9079	8694	3170	0.7328	0.9576	0.8452	12518	11976	4292	0.7362	0.9567	0.8464
2554513	2014-08-01 22:41:47	3.5to4_plus1	BinaTeam	TRUE	Mask	9129	8704	3160	0.7336	0.9534	0.8435	12575	11986	4282	0.7368	0.9532	0.8450
2523472	2014-07-22 00:47:22	MuTectStock-B	Broad SMC	TRUE	Mask	9369	8828	3036	0.7441	0.9423	0.8432	12877	12145	4123	0.7466	0.9432	0.8449
2559569	2014-08-02 07:39:18	3.5to4_S.12345_f1b_map	BinaTeam	TRUE	Mask	9383	8833	3031	0.7445	0.9414	0.8430	12932	12173	4095	0.7483	0.9413	0.8448
2558537	2014-08-02 03:53:25	3.5to4_S.12345_f3_map	BinaTeam	TRUE	Mask	9313	8793	3071	0.7411	0.9442	0.8427	12852	12113	4155	0.7446	0.9425	0.8435
2519989	2014-07-21 03:50:47	MuTect-ES	Broad SMC	TRUE	Mask	9064	8646	3218	0.7288	0.9539	0.8413	12503	11917	4351	0.7325	0.9531	0.8428
2550084	2014-08-01 19:00:40	bayScan.snv.v2	WashU	TRUE	Mask	9395	8813	3051	0.7428	0.9381	0.8404	12930	12126	4142	0.7454	0.9378	0.8416
2537445	2014-07-29 21:28:50	varScan-nov.snv.v2b	WashU	TRUE	Mask	8706	8439	3425	0.7113	0.9693	0.8403	11959	11596	4672	0.7128	0.9696	0.8412
6174525	2016-06-23 20:47:50	snv.muTect2.set4	OICR-GSI	FALSE	Mask	9733	8922	2942	0.7520	0.9167	0.8343	13324	12275	3993	0.7545	0.9213	0.8379
2547690	2014-08-01 02:47:10	bayScan.snv.v1	WashU	TRUE	Mask	9739	8904	2960	0.7505	0.9143	0.8324	13391	12250	4018	0.7530	0.9148	0.8339
2535393	2014-07-29 16:53:33	varScan-nov.snv.v2	WashU	TRUE	Mask	8473	8217	3647	0.6926	0.9698	0.8312	11654	11304	4964	0.6949	0.9700	0.8324
2528834	2014-07-25 21:13:41	viper.v3	WashU	TRUE	Mask	8892	8453	3411	0.7125	0.9506	0.8316	12217	11615	4653	0.7140	0.9507	0.8324
2528818	2014-07-25 20:18:10	varScan-nov.snv.v1b	WashU	TRUE	Mask	8597	8217	3647	0.6926	0.9558	0.8242	11822	11304	4964	0.6949	0.9562	0.8255
2524243	2014-07-22 20:34:29	Ex.S.01234	BinaTeam	TRUE	Mask	8982	8376	3488	0.7060	0.9325	0.8193	12381	11547	4721	0.7098	0.9326	0.8212
2826117	2014-11-17 18:19:50	somac-syn4-rf470svml-17Nov2014	somac	FALSE	Mask	8612	8131	3733	0.6854	0.9441	0.8147	11925	11277	4991	0.6932	0.9457	0.8194
2528212	2014-07-25 00:07:09	viper.v2b	WashU	TRUE	Mask	8578	8137	3727	0.6859	0.9486	0.8172	11782	11194	5074	0.6881	0.9501	0.8191
2519496	2014-07-19 00:54:45	t3s1	BinaTeam	TRUE	Mask	7765	7651	4213	0.6449	0.9853	0.8151	10757	10605	5663	0.6519	0.9859	0.8189
2528812	2014-07-25 19:58:17	varScan-nov.snv.v1	WashU	TRUE	Mask	8274	7960	3904	0.6709	0.9620	0.8165	11401	10964	5304	0.6740	0.9617	0.8178
2527074	2014-07-23 22:12:20	viper.v2	WashU	TRUE	Mask	8652	8160	3704	0.6878	0.9431	0.8155	11895	11237	5031	0.6907	0.9447	0.8177
2547672	2014-08-01 00:49:18	Ex.S.01234_cluster0	BinaTeam	TRUE	Mask	8388	8000	3864	0.6743	0.9537	0.8140	11594	11062	5206	0.6800	0.9541	0.8170
2560791	2014-08-03 00:21:05	CASpoint.s5-filt10	Cancerevo	TRUE	Mask	8830	8230	3634	0.6937	0.9320	0.8129	12162	11358	4910	0.6982	0.9339	0.8160
2540830	2014-07-30 18:00:32	Ex.S.01234_cluster2	BinaTeam	TRUE	Mask	8330	7952	3912	0.6703	0.9546	0.8124	11523	11003	5265	0.6764	0.9549	0.8156
2562819	2014-08-03 03:38:09	CASpoint.s5-filt10_sp1	Cancerevo	TRUE	Mask	9071	8353	3511	0.7041	0.9208	0.8125	12508	11524	4744	0.7084	0.9213	0.8149
2559945	2014-08-02 23:32:58	CASpoint.s5-filt7	Cancerevo	TRUE	Mask	9020	8299	3565	0.6995	0.9201	0.8098	12412	11450	4818	0.7038	0.9225	0.8132
2559840	2014-08-02 20:07:00	CASpoint.s5-filt1	Cancerevo	TRUE	Mask	8807	8186	3678	0.6900	0.9295	0.8097	12162	11305	4963	0.6949	0.9295	0.8122
2527067	2014-07-23 21:27:11	varScan.snv.v3e	WashU	TRUE	Mask	7930	7695	4169	0.6486	0.9704	0.8095	10928	10617	5651	0.6526	0.9715	0.8121
2527209	2014-07-24 16:46:30	varScan.snv.v4b	WashU	TRUE	Mask	7986	7721	4143	0.6508	0.9668	0.8088	10994	10648	5620	0.6545	0.9685	0.8115
2560781	2014-08-03 00:20:21	CASpoint.s5-filt9	Cancerevo	TRUE	Mask	8889	8204	3660	0.6915	0.9229	0.8072	12262	11337	4931	0.6969	0.9246	0.8107
2559925	2014-08-02 23:09:55	CASpoint.s5-filt6	Cancerevo	TRUE	Mask	9408	8469	3395	0.7138	0.9002	0.8070	12952	11687	4581	0.7184	0.9023	0.8104
2559826	2014-08-02 19:19:31	CASpoint.s5	Cancerevo	TRUE	Mask	8798	8163	3701	0.6880	0.9278	0.8079	12151	11273	4995	0.6930	0.9277	0.8103
2559854	2014-08-02 20:35:24	CASpoint.s5-filt2	Cancerevo	TRUE	Mask	9375	8457	3407	0.7128	0.9021	0.8075	12919	11667	4601	0.7172	0.9031	0.8101
2526937	2014-07-23 20:42:58	varScan.snv.v3d	WashU	TRUE	Mask	8027	7722	4142	0.6509	0.9620	0.8064	11044	10649	5619	0.6546	0.9642	0.8094
2526704	2014-07-23 18:35:32	varScan.snv.v3c	WashU	TRUE	Mask	8042	7724	4140	0.6510	0.9605	0.8058	11070	10652	5616	0.6548	0.9622	0.8085
2559588	2014-08-02 11:59:33	CASpoint.s4_filt3	Cancerevo	TRUE	Mask	8196	7804	4060	0.6578	0.9522	0.8050	11318	10776	5492	0.6624	0.9521	0.8073
2556710	2014-08-02 03:05:15	CASpoint.s4_filt1	Cancerevo	TRUE	Mask	8803	8132	3732	0.6854	0.9238	0.8046	12148	11227	5041	0.6901	0.9242	0.8072
2559856	2014-08-02 20:38:33	CASpoint.s5-filt3	Cancerevo	TRUE	Mask	10017	8739	3125	0.7366	0.8724	0.8045	13816	12054	4214	0.7410	0.8725	0.8067
2559627	2014-08-02 15:53:40	CASpoint.s4_filt6	Cancerevo	TRUE	Mask	8458	7939	3925	0.6692	0.9386	0.8039	11671	10960	5308	0.6737	0.9391	0.8064
2559886	2014-08-02 21:52:59	CASpoint.s5-filt5	Cancerevo	TRUE	Mask	9774	8618	3246	0.7264	0.8817	0.8041	13478	11888	4380	0.7308	0.8820	0.8064
2560773	2014-08-03 00:19:32	CASpoint.s5-filt8	Cancerevo	TRUE	Mask	8778	8086	3778	0.6816	0.9212	0.8014	12091	11161	5107	0.6861	0.9231	0.8046
2559833	2014-08-02 19:36:35	CASpoint.s5-filt1	Cancerevo	TRUE	Mask	9373	8392	3472	0.7073	0.8953	0.8013	12935	11582	4686	0.7119	0.8954	0.8037
2559605	2014-08-02 13:52:45	CASpoint.s3_filt8_sp3	Cancerevo	TRUE	Mask	8123	7715	4149	0.6503	0.9498	0.8000	11226	10656	5612	0.6550	0.9492	0.8021
2549336	2014-08-01 15:38:26	CASpoint.s3_filt6	Cancerevo	TRUE	Mask	9574	8464	3400	0.7134	0.8841	0.7987	13193	11678	4590	0.7179	0.8852	0.8015
2559476	2014-08-02 05:23:09	CASpoint.s4_filt2	Cancerevo	TRUE	Mask	8319	7817	4047	0.6589	0.9397	0.7993	11492	10795	5473	0.6636	0.9393	0.8015
2549317	2014-08-01 14:08:51	CASpoint.s2-grig3	Cancerevo	TRUE	Mask	8696	8014	3850	0.6755	0.9216	0.7985	11997	11064	5204	0.6801	0.9222	0.8012
2519691	2014-07-20 00:30:27	t3s1	BinaTeam	TRUE	Mask	9757	8542	3322	0.7200	0.8755	0.7977	13375	11760	4508	0.7229	0.8793	0.8011
2559688	2014-08-02 17:29:03	CASpoint.s3_filt8_clus1	Cancerevo	TRUE	Mask	8311	7808	4056	0.6581	0.9395	0.7988	11493	10785	5483	0.6630	0.9384	0.8007
2549482	2014-08-01 17:15:14	CASpoint.s3_filt7	Cancerevo	TRUE	Mask	8627	7971	3893	0.6719	0.9240	0.7979	11903	11004	5264	0.6764	0.9245	0.8004
2549633	2014-08-01 17:54:46	CASpoint.s3_filt8	Cancerevo	TRUE	Mask	7958	7603	4261	0.6408	0.9554	0.7981	10997	10501	5767	0.6455	0.9549	0.8002
2547668	2014-08-01 00:46:23	mutect.default	DaBear	TRUE	Mask	10402	8827	3037	0.7440	0.8486	0.7963	14246	12148	4120	0.7467	0.8527	0.7997
6175785	2016-06-24 18:25:44	snv.muTect.only.set4	OICR-GSI	FALSE	Mask	10412	8827	3037	0.7440	0.8478	0.7959	14260	12149	4119	0.7468	0.8520	0.7994
2559614	2014-08-02 14:50:27	11446.vcf	--	TRUE	Mask	8233	7747	4117	0.6530	0.9410	0.7970	11373	10699	5569	0.6577	0.9407	0.7992
2559615	2014-08-02 14:51:25	CASpoint.s3_filt8_grig1	Cancerevo	TRUE	Mask	8233	7747	4117	0.6530	0.9410	0.7970	11373	10699	5569	0.6577	0.9407	0.7992
2562815	2014-08-03 02:32:47	11063.410.233.vcf	--	TRUE	Mask	8410	7846	4018	0.6613	0.9329	0.7971	11618	10833	5435	0.6659	0.9324	0.7992
2559617	2014-08-02 15:07:51	CASpoint.s4_filt5	Cancerevo	TRUE	Mask	8125	7683	4181	0.6476	0.9456	0.7966	11208	10602	5666	0.6517	0.9459	0.7988
2559598	2014-08-02 13:11:42	CASpoint.s4_filt4	Cancerevo	TRUE	Mask	8157	7696	4168	0.6487	0.9435	0.7961	11279	10634	5634	0.6537	0.9428	0.7982
2519985	2014-07-21 03:33:03	MuTect-EF	Broad SMC	TRUE	Mask	10154	8701	3163	0.7334	0.8569	0.7951	14000	11996	4272	0.7374	0.8569	0.7971
2519510	2014-07-19 04:05:24	varScan.snv.v2b	WashU	TRUE	Mask	7549	7306	4558	0.6158	0.9678	0.7918	10445	10121	6147	0.6221	0.9690	0.7956
2526450	2014-07-23 16:05:04	varScan.snv.v3b	WashU	TRUE	Mask	7662	7353	4511	0.6198	0.9597	0.7897	10599	10191	6077	0.6264	0.9615	0.7940
2875301	2014-11-26 17:38:13	mutect_raw_default	SMC_Admins	FALSE	Mask	10687	8827	3037	0.7440	0.8260	0.7850	14537	12149	4119	0.7468	0.8357	0.7913
2548659	2014-08-01 09:02:11	CASpoint.s2-grig2	Cancerevo	TRUE	Mask	8968	8048	3816	0.6784	0.8974	0.7879	12404	11125	5143	0.6839	0.8969	0.7904
2547702	2014-08-01 04:28:04	CASpoint.s2-grig	Cancerevo	TRUE	Mask	8132	7594	4270	0.6401	0.9338	0.7870	11233	10501	5767	0.6455	0.9348	0.7902
5578902	2016-01-06 19:26:30	MuTect_uncorrected	SMC_Admins	FALSE	Mask	11128	8916	2948	0.7515	0.8012	0.7764	14816	12253	4015	0.7532	0.8270	0.7901
2559594	2014-08-02 12:58:17	CASpoint.s3_filt8_sp	Cancerevo	TRUE	Mask	8553	7823	4041	0.6594	0.9146	0.7870	11766	10786	5482	0.6630	0.9167	0.7899
2559600	2014-08-02 13:33:00	CASpoint.s3_filt8_sp2	Cancerevo	TRUE	Mask	8553	7823	4041	0.6594	0.9146	0.7870	11766	10786	5482	0.6630	0.9167	0.7899
2547021	2014-07-31 15:44:47	CASpoint.s3_filt5	Cancerevo	TRUE	Mask	10534	8783	3081	0.7403	0.8338	0.7870	14537	12117	4151	0.7448	0.8335	0.7892
2519307	2014-07-18 23:42:42	viper.snv.v1	WashU	TRUE	Mask	8555	7795	4069	0.6570	0.9112	0.7841	11809	10778	5490	0.6625	0.9127	0.7876
2528441	2014-07-25 01:59:59	karkinos_submit9	Karkinos Test Team	TRUE	Mask	8525	7762	4102	0.6542	0.9105	0.7824	11785	10746	5522	0.6606	0.9118	0.7862
2527153	2014-07-24 10:33:45	karkinos_submit8	Karkinos Test Team	TRUE	Mask	8593	7794	4070	0.6569	0.9070	0.7820	11872	10788	5480	0.6631	0.9087	0.7859
2527086	2014-07-24 00:09:28	varScan.snv.v4	WashU	TRUE	Mask	8517	7768	4096	0.6548	0.9121	0.7834	11748	10717	5551	0.6588	0.9122	0.7855
5578707	2016-01-06 15:36:12	mutationseq_uncorrected	SMC_Admins	FALSE	Mask	9855	8399	3465	0.7079	0.8523	0.7801	13486	11573	4695	0.7114	0.8581	0.7848
2518082	2014-07-17 01:13:10	karkinos_test3	Karkinos Test Team	TRUE	Mask	7607	7232	4632	0.6096	0.9507	0.7801	10543	10040	6228	0.6172	0.9523	0.7847
2546962	2014-07-31 11:09:09	CASpoint.s2-basic	Cancerevo	TRUE	Mask	9765	8369	3495	0.7054	0.8570	0.7812	13495	11568	4700	0.7111	0.8572	0.7841
2523487	2014-07-22 02:25:46	filter8814_QSS6_noise_somatic_pass_22072014	cd34	TRUE	Mask	8055	7471	4393	0.6297	0.9275	0.7786	11102	10342	5926	0.6357	0.9315	0.7836
2559608	2014-08-02 14:17:28	Dream_Set4_MuSE_Setting8	Wang-Wheeler-HGSC	TRUE	Mask	9334	8166	3698	0.6883	0.8749	0.7816	12851	11221	5047	0.6898	0.8732	0.7815
2523489	2014-07-22 02:26:57	filter8814_QSS8_somatic_pass_22072014	cd34	TRUE	Mask	7815	7314	4550	0.6165	0.9359	0.7762	10790	10125	6143	0.6224	0.9384	0.7804
2559882	2014-08-02 21:37:41	CASpoint.s5-filt4	Cancerevo	TRUE	Mask	8970	7927	3937	0.6682	0.8837	0.7759	12421	10991	5277	0.6756	0.8849	0.7802
2528478	2014-07-25 06:43:48	CASpoint.s2++++	Cancerevo	TRUE	Mask	8391	7627	4237	0.6429	0.9090	0.7759	11629	10576	5692	0.6501	0.9095	0.7798
2533607	2014-07-28 14:51:07	CASpoint.s2_filt7	Cancerevo	TRUE	Mask	8904	7896	3968	0.6655	0.8868	0.7762	12268	10902	5366	0.6701	0.8887	0.7794
2523603	2014-07-22 10:13:08	CASpoint.s2+	Cancerevo	TRUE	Mask	8440	7647	4217	0.6446	0.9060	0.7753	11699	10604	5664	0.6518	0.9064	0.7791
2528472	2014-07-25 06:23:17	CASpoint.s2+++	Cancerevo	TRUE	Mask	8417	7634	4230	0.6435	0.9070	0.7752	11660	10583	5685	0.6505	0.9076	0.7791
2523493	2014-07-22 02:29:47	QSS10_noise_somatic_pass_22072014	cd34	TRUE	Mask	7696	7228	4636	0.6092	0.9392	0.7742	10625	10006	6262	0.6151	0.9417	0.7784
2546840	2014-07-31 04:49:14	CASpoint.s3_filt2	Cancerevo	TRUE	Mask	9118	7986	3878	0.6731	0.8758	0.7745	12574	11041	5227	0.6787	0.8781	0.7784
2528469	2014-07-25 05:42:20	CASpoint.t1+++	Cancerevo	TRUE	Mask	8334	7574	4290	0.6384	0.9088	0.7736	11558	10506	5762	0.6458	0.9090	0.7774
2523479	2014-07-22 01:40:17	filter8814_QSS10_somatic_pass_22072014	cd34	TRUE	Mask	7568	7145	4719	0.6022	0.9441	0.7732	10456	9893	6375	0.6081	0.9462	0.7771
2523491	2014-07-22 02:27:46	QSS10_somatic_pass_22072014	cd34	TRUE	Mask	7737	7228	4636	0.6092	0.9342	0.7717	10677	10007	6261	0.6151	0.9372	0.7762
2535292	2014-07-29 09:55:58	CASpoint.s2_filt8	Cancerevo	TRUE	Mask	9517	8156	3708	0.6875	0.8570	0.7722	13073	11242	5026	0.6910	0.8599	0.7755
2519569	2014-07-19 14:40:45	CASpoint.s1++	Cancerevo	TRUE	Mask	7541	7100	4764	0.5984	0.9415	0.7700	10454	9853	6415	0.6057	0.9425	0.7741
2528535	2014-07-25 13:57:37	CASpoint.s2_filt2	Cancerevo	TRUE	Mask	8985	7869	3995	0.6633	0.8758	0.7695	12447	10911	5357	0.6707	0.8766	0.7736
2518675	2014-07-17 20:07:25	varScan.snv.v2	WashU	TRUE	Mask	6789	6644	5220	0.5600	0.9786	0.7693	9406	9220	7048	0.5668	0.9802	0.7735
2518929	2014-07-18 13:21:31	LoFreq Somatic: g951e435 ta400	LoFreq Somatic - GIS	TRUE	Mask	7556	7105	4759	0.5989	0.9403	0.7696	10458	9837	6431	0.6047	0.9406	0.7727
2550741	2014-08-01 20:04:02	EmTooS	Broad SMC	TRUE	Mask	10915	8728	3136	0.7357	0.7996	0.7677	14972	12034	4234	0.7397	0.8038	0.7718
2528463	2014-07-25 04:33:40	CASpoint.t1++	Cancerevo	TRUE	Mask	8027	7338	4526	0.6185	0.9142	0.7663	11141	10184	6084	0.6260	0.9141	0.7701
6170276	2016-06-17 21:29:57	snv.synt.challenge.set4.ms	OICR-GSI	FALSE	Mask	6980	6745	5119	0.5685	0.9663	0.7674	9672	9340	6928	0.5741	0.9657	0.7699
2518902	2014-07-18 11:22:49	karkinos_filter	Karkinos Test Team	TRUE	Mask	7104	6799	5065	0.5731	0.9571	0.7651	9860	9446	6822	0.5806	0.9580	0.7693
2518499	2014-07-17 13:49:49	LoFreq Somatic: g951e435 ta200	LoFreq Somatic - GIS	TRUE	Mask	7136	6826	5038	0.5754	0.9566	0.7660	9891	9460	6808	0.5815	0.9564	0.7690
2533415	2014-07-28 03:34:50	CASpoint.s2_filt5	Cancerevo	TRUE	Mask	8069	7339	4525	0.6186	0.9095	0.7641	11194	10192	6076	0.6265	0.9105	0.7685
2528489	2014-07-25 07:54:32	CASpoint.s2_filt1	Cancerevo	TRUE	Mask	7651	7112	4752	0.5995	0.9296	0.7645	10630	9873	6395	0.6069	0.9288	0.7678
2519527	2014-07-19 07:18:16	LoFreq Somatic: g951e435 ta400 snrel	LoFreq Somatic - GIS	TRUE	Mask	7730	7140	4724	0.6018	0.9237	0.7627	10699	9887	6381	0.6078	0.9241	0.7659
2528453	2014-07-25 03:43:53	CASpoint.t1	Cancerevo	TRUE	Mask	7859	7179	4685	0.6051	0.9135	0.7593	10907	9969	6299	0.6128	0.9140	0.7634
2535496	2014-07-29 17:45:26	CASpoint.s2_filt30	Cancerevo	TRUE	Mask	7952	7244	4620	0.6106	0.9110	0.7608	10980	10002	6266	0.6148	0.9109	0.7629
2519579	2014-07-19 15:37:22	CASpoint.BIG	Cancerevo	TRUE	Mask	7950	7230	4634	0.6094	0.9094	0.7594	11031	10027	6241	0.6164	0.9090	0.7627
2520035	2014-07-21 09:19:51	Dream_Set4_MuSE_Setting2	Wang-Wheeler-HGSC	TRUE	Mask	10291	8403	3461	0.7083	0.8165	0.7624	14145	11541	4727	0.7094	0.8159	0.7627
2520065	2014-07-21 12:59:38	CASpoint.s2	Cancerevo	TRUE	Mask	7884	7190	4674	0.6060	0.9120	0.7590	10940	9974	6294	0.6131	0.9117	0.7624
2507890	2014-07-04 02:54:20	strelka_test1	UNSW Lowy	TRUE	Mask	6867	6607	5257	0.5569	0.9621	0.7595	9499	9142	7126	0.5620	0.9624	0.7622
2508830	2014-07-08 04:37:15	strelka_pass_08072014	cd34	TRUE	Mask	6867	6607	5257	0.5569	0.9621	0.7595	9499	9142	7126	0.5620	0.9624	0.7622
