"","country","continent","year","lifeExp","pop","gdpPercap","popInMillions"
"1421","Spain","Europe",1972,73.1,34513161,10638.75131,34.513161
"1157","Oman","Asia",1972,52.1,829050,10618.03855,0.82905
"1632","Uruguay","Americas",2007,76.4,3447496,10611.46299,3.447496
"531","France","Europe",1962,70.5,47124000,10560.48553,47.124
"1093","New Zealand","Oceania",1952,69.4,1994794,10556.57566,1.994794
"681","Hungary","Europe",1992,69.2,10348684,10535.62855,10.348684
"1337","Serbia","Europe",1972,68.7,8313288,10522.06749,8.313288
"1637","Venezuela","Americas",1972,65.7,11515649,10505.25966,11.515649
"876","Lebanon","Asia",2007,72,3921278,10461.05868,3.921278
"687","Iceland","Europe",1962,73.7,182053,10350.15906,0.182053
"1255","Puerto Rico","Americas",1982,73.8,3279001,10330.98915,3.279001
"947","Malaysia","Asia",2002,73,22662365,10206.97794,22.662365
"566","Germany","Europe",1957,69.1,71019069,10187.82665,71.019069
"1242","Portugal","Europe",1977,70.4,9662600,10172.48572,9.6626
"677","Hungary","Europe",1972,69.8,10394091,10168.65611,10.394091
"1642","Venezuela","Americas",1997,72.1,22374398,10165.49518,22.374398
"1234","Poland","Europe",1997,72.8,38654957,10159.58368,38.654957
"399","Czech Republic","Europe",1962,69.9,9620282,10136.86713,9.620282
"946","Malaysia","Asia",1997,71.9,20476091,10132.90964,20.476091
"286","Chile","Americas",1997,75.8,14599929,10118.05318,14.599929
"1141","Norway","Europe",1952,72.7,3327728,10095.42172,3.327728
"54","Argentina","Americas",1977,68.5,26983828,10079.02674,26.983828
"61","Australia","Oceania",1952,69.1,8691212,10039.59564,8.691212
"772","Italy","Europe",1967,71.1,52667100,10022.40131,52.6671
"1597","United Kingdom","Europe",1952,69.2,50430000,9979.508487,50.43
"1466","Sweden","Europe",1957,72.5,7363802,9911.878226,7.363802
"1640","Venezuela","Americas",1987,70.2,17910182,9883.584648,17.910182
"382","Croatia","Europe",1997,73.7,4444595,9875.604515,4.444595
"85","Bahrain","Asia",1952,50.9,120447,9867.084765,0.120447
"796","Japan","Asia",1967,71.4,100825279,9847.788607,100.825279
"1188","Panama","Americas",2007,75.5,3242173,9809.185636,3.242173
"1634","Venezuela","Americas",1957,57.9,6702668,9802.466526,6.702668
"1344","Serbia","Europe",2007,74,10150265,9786.534714,10.150265
"1254","Puerto Rico","Americas",1977,73.4,3080828,9770.524921,3.080828
"994","Mexico","Americas",1997,73.7,95895146,9767.29753,95.895146
"110","Belgium","Europe",1957,69.2,8989111,9714.960623,8.989111
"1280","Romania","Europe",1987,69.5,22686371,9696.273295,22.686371
